FeatureSet,Mean_EER,Std_EER,Mean_FAR,Std_FAR,Mean_FRR,Std_FRR
1,0.390124314812132,0.723882359170586,0.0782781862745098,0.165025301480581,0.701970443349754,1.48016828729323
2,3.82453795095624,4.14542376817768,1.33134191176471,1.17229008687715,6.31773399014778,7.56073612393229
3,0.435421043417367,1.17414100628859,0.15655637254902,0.202114052892332,0.714285714285714,2.25876975726313
4,0.217710521708683,0.622623050251499,0.0782781862745098,0.165025301480581,0.357142857142857,1.12938487863156
5,0,0,0,0,0,0
