Model,Accuracy,Mean_EER,Std_EER,Mean_FAR,Mean_FRR,Features
Standard,90.1408450704225,2.00312989045383,3.05380481560221,1.3302034428795,2.67605633802817,133
Efficiency,88.0281690140845,3.23943661971831,4.43112612862316,1.69014084507042,4.7887323943662,20
Real-World,91.6901408450704,1.14241001564945,2.11997297285301,0.735524256651017,1.54929577464789,80
