Activation,Mean_EER,Mean_FAR,Mean_FRR,Accuracy,Train_Time
Tanh (Default),0,0,0,99.6296296296296,1.5085766
Sigmoid,0,0,0,99.6296296296296,1.2681213
Linear,16.4490614438383,31.1319087096977,1.76621417797888,75.1851851851852,1.5993094
Positive Linear,0.148530331457161,0.040650406504065,0.256410256410256,99.2592592592593,1.3254305
